indice_tiempo,reservas_internacionales_bcra_saldos,reservas_internacionales_bcra_prom_mensual_de_saldos_diarios,tipo_de_cambio_moneda_de_cada_momento,tipo_de_cambio_en_pesos_equivalentes,agregados_monetarios_en_pesos_bym_totales,agregados_monetarios_en_pesos_bym_en_circulacion,agregados_monetarios_en_pesos_bym_en_entidades,agregados_monetarios_en_pesos_bm,agregados_monetarios_en_pesos_m1,agregados_monetarios_en_pesos_m2,agregados_monetarios_en_pesos_m3,agregados_usd_m1,agregados_usd_m2,agregados_usd_m3,prestamos_totales_total,prestamos_totales_pesos,prestamos_totales_usd,prestamos_al_sector_privado_total,prestamos_al_sector_privado_pesos,prestamos_al_sector_privado_usd,prestamos_al_sector_publico_total,prestamos_al_sector_publico_pesos,prestamos_al_sector_publico_usd,depositos_totales_total,depositos_totales_pesos,depositos_totales_usd,depositos_al_sector_privado_total,depositos_al_sector_privado_pesos,depositos_al_sector_privado_usd,depositos_al_sector_publico_total,depositos_al_sector_publico_pesos,depositos_al_sector_publico_usd,tasa_interes_deposito_caja_de_ahorro_pesos,tasa_interes_deposito_caja_de_ahorro_usd,tasa_interes_deposito_plazo_fijo_30_59d_pesos,tasa_interes_deposito_plazo_fijo_30_59d_usd,tasa_interes_obligaciones_entidades_financieras_exterior,tasa_interes_prestamos_interfinancieros_hasta_15d_pesos,tasa_interes_prestamos_interfinancieros_hasta_15d_plazo_usd,tasa_interes_prestamos_empresas_primera_linea_30d_pesos,tasa_interes_prestamos_empresas_primera_linea_30d_plazo_usd,tasa_interes_adelantos_en_cc_sect_priv_no_financiero_pesos,tasa_interes_adelantos_en_cc_al_sect_priv_no_financiero_usd,tasa_interes_prestamos_hipot_sect_priv_5_10_anios_pesos,tasa_interes_prestamos_hipotecarios_sect_priv_5_10_anios_usd
1960-09-01,703.3,,82.76,8.276000000000002e-12,1.087998e-08,8.7236e-09,2.1563800000000004e-09,1.4053310000000003e-08,1.99349e-08,2.4152670000000005e-08,2.5610860000000005e-08,,,,2.5449100000000004e-08,2.4094440000000005e-08,1.3546600000000002e-09,1.6538310000000002e-08,1.5183650000000003e-08,1.3546600000000002e-09,8.910790000000002e-09,8.910790000000002e-09,,1.7387550000000002e-08,1.7387550000000002e-08,,1.3180950000000001e-08,1.3180950000000001e-08,,4.206600000000001e-09,4.206600000000001e-09,,,,,,,,,,,,,,
1960-10-01,681.9,,82.85,8.285e-12,1.0976570000000002e-08,8.74358e-09,2.23299e-09,1.4040620000000003e-08,2.004536e-08,2.427687e-08,2.5807790000000004e-08,,,,2.5997320000000004e-08,2.4622510000000004e-08,1.3748100000000001e-09,1.676664e-08,1.5391830000000002e-08,1.3748100000000001e-09,9.230680000000002e-09,9.230680000000002e-09,,1.756451e-08,1.756451e-08,,1.3127340000000002e-08,1.3127340000000002e-08,,4.437170000000001e-09,4.437170000000001e-09,,,,,,,,,,,,,,
1960-11-01,692.4,,82.92,8.292000000000002e-12,1.1238880000000002e-08,8.80672e-09,2.4321600000000004e-09,1.4078870000000001e-08,2.0508760000000005e-08,2.4895020000000005e-08,2.6514230000000002e-08,,,,2.6447200000000003e-08,2.5150770000000004e-08,1.29643e-09,1.714355e-08,1.584712e-08,1.29643e-09,9.303650000000001e-09,9.303650000000001e-09,,1.820767e-08,1.820767e-08,,1.3475460000000001e-08,1.3475460000000001e-08,,4.7322100000000006e-09,4.7322100000000006e-09,,,,,,,,,,,,,,
1960-12-01,702.9,,82.85,8.285e-12,1.2761750000000002e-08,1.0526220000000002e-08,2.2355300000000004e-09,1.4365760000000002e-08,2.1706710000000004e-08,2.6133710000000004e-08,2.7830490000000006e-08,,,,2.7470830000000007e-08,2.6271980000000005e-08,1.1988500000000003e-09,1.7957690000000005e-08,1.6758840000000003e-08,1.1988500000000003e-09,9.513140000000002e-09,9.513140000000002e-09,,1.7804440000000006e-08,1.7804440000000006e-08,,1.3451620000000005e-08,1.3451620000000005e-08,,4.352820000000001e-09,4.352820000000001e-09,,,,,,,,,,,,,,
1961-01-01,724.5,,82.73,8.273000000000002e-12,1.2451290000000002e-08,9.811680000000001e-09,2.6396100000000006e-09,1.4678290000000002e-08,2.1904310000000002e-08,2.6533220000000004e-08,2.8273130000000003e-08,,,,2.8084400000000004e-08,2.6812300000000005e-08,1.2721000000000002e-09,1.829577e-08,1.702367e-08,1.2721000000000002e-09,9.788630000000002e-09,9.788630000000002e-09,,1.9011620000000003e-08,1.9011620000000003e-08,,1.4450330000000003e-08,1.4450330000000003e-08,,4.561290000000001e-09,4.561290000000001e-09,,,,,,,,,,,,,,
1961-02-01,737.1,,82.7,8.270000000000001e-12,1.2519320000000002e-08,9.704500000000001e-09,2.8148200000000004e-09,1.4767920000000003e-08,2.1760980000000002e-08,2.6469880000000006e-08,2.8289600000000005e-08,,,,2.8015870000000006e-08,2.6742060000000005e-08,1.2738100000000002e-09,1.8469050000000004e-08,1.7195240000000003e-08,1.2738100000000002e-09,9.546820000000002e-09,9.546820000000002e-09,,1.9135270000000002e-08,1.9135270000000002e-08,,1.4943870000000003e-08,1.4943870000000003e-08,,4.1914e-09,4.1914e-09,,,,,,,,,,,,,,
1961-03-01,749.6,,82.75,8.275000000000002e-12,1.264071e-08,9.939010000000002e-09,2.7017000000000003e-09,1.506358e-08,2.212908e-08,2.6896170000000003e-08,2.8848090000000007e-08,,,,2.8506570000000007e-08,2.7176500000000005e-08,1.3300700000000004e-09,1.8785560000000006e-08,1.7455490000000004e-08,1.3300700000000004e-09,9.721010000000001e-09,9.721010000000001e-09,,1.9459150000000004e-08,1.9459150000000004e-08,,1.5187230000000003e-08,1.5187230000000003e-08,,4.271920000000001e-09,4.271920000000001e-09,,,,,,,,,,,,,,
1961-04-01,718.6,,82.85,8.285e-12,1.2650060000000002e-08,9.872620000000001e-09,2.7774400000000003e-09,1.4932180000000002e-08,2.2173680000000004e-08,2.6946200000000003e-08,2.9059650000000004e-08,,,,2.883407e-08,2.745883e-08,1.3752400000000003e-09,1.9163760000000002e-08,1.778852e-08,1.3752400000000003e-09,9.670310000000001e-09,9.670310000000001e-09,,1.9737100000000005e-08,1.9737100000000005e-08,,1.5333480000000003e-08,1.5333480000000003e-08,,4.4036200000000006e-09,4.4036200000000006e-09,,,,,,,,,,,,,,
1961-05-01,691.8,,82.93,8.293000000000003e-12,1.2661010000000002e-08,9.898500000000001e-09,2.7625100000000006e-09,1.4809930000000002e-08,2.2409530000000003e-08,2.721125e-08,2.938036e-08,,,,2.9536900000000006e-08,2.8138670000000005e-08,1.3982300000000002e-09,1.9689300000000005e-08,1.8291070000000004e-08,1.3982300000000002e-09,9.847600000000001e-09,9.847600000000001e-09,,2.0031900000000005e-08,2.0031900000000005e-08,,1.5608990000000004e-08,1.5608990000000004e-08,,4.42291e-09,4.42291e-09,,,,,,,,,,,,,,
1961-06-01,651.9,,82.74,8.274000000000001e-12,1.269703e-08,9.92777e-09,2.7692600000000004e-09,1.4775240000000002e-08,2.2614510000000004e-08,2.7461700000000005e-08,2.9605210000000003e-08,,,,3.010213000000001e-08,2.8654940000000005e-08,1.4471900000000003e-09,2.0254720000000005e-08,1.8807530000000004e-08,1.4471900000000003e-09,9.84741e-09,9.84741e-09,,2.022748e-08,2.022748e-08,,1.56801e-08,1.56801e-08,,4.547380000000001e-09,4.547380000000001e-09,,,,,,,,,,,,,,
1961-07-01,635.9,,82.65,8.265000000000002e-12,1.2730480000000003e-08,9.951250000000001e-09,2.7792300000000005e-09,1.4555650000000002e-08,2.2471140000000005e-08,2.7366980000000003e-08,2.9580660000000003e-08,,,,3.032914e-08,2.8798720000000002e-08,1.5304200000000002e-09,2.062124e-08,1.909082e-08,1.5304200000000002e-09,9.707900000000001e-09,9.707900000000001e-09,,2.0179450000000003e-08,2.0179450000000003e-08,,1.57323e-08,1.57323e-08,,4.447150000000001e-09,4.447150000000001e-09,,,,,,,,,,,,,,
1961-08-01,632.7,,82.74,8.274000000000001e-12,1.2766180000000003e-08,9.968450000000001e-09,2.7977300000000004e-09,1.4604970000000001e-08,2.2790010000000004e-08,2.7709100000000002e-08,3.006547000000001e-08,,,,3.090651000000001e-08,2.9366420000000008e-08,1.5400900000000002e-09,2.1048190000000005e-08,1.9508100000000004e-08,1.5400900000000002e-09,9.858320000000002e-09,9.858320000000002e-09,,2.0647060000000002e-08,2.0647060000000002e-08,,1.581928e-08,1.581928e-08,,4.827780000000001e-09,4.827780000000001e-09,,,,,,,,,,,,,,
1961-09-01,606.4,,82.97,8.297000000000002e-12,1.2898340000000002e-08,1.0133140000000002e-08,2.7652000000000007e-09,1.4534940000000003e-08,2.3020100000000006e-08,2.7958670000000006e-08,3.026347000000001e-08,,,,3.127749000000001e-08,2.9695040000000002e-08,1.5824500000000003e-09,2.1457590000000004e-08,1.9875140000000003e-08,1.5824500000000003e-09,9.8199e-09,9.8199e-09,,2.0680370000000003e-08,2.0680370000000003e-08,,1.5836620000000003e-08,1.5836620000000003e-08,,4.843750000000001e-09,4.843750000000001e-09,,,,,,,,,,,,,,
1961-10-01,559.8,,83.03,8.303000000000001e-12,1.2525650000000003e-08,1.0043800000000001e-08,2.4818500000000005e-09,1.4157900000000003e-08,2.2908520000000006e-08,2.789098e-08,3.0254450000000005e-08,,,,3.1731300000000004e-08,3.0100810000000005e-08,1.6304900000000002e-09,2.1774500000000004e-08,2.0144010000000005e-08,1.6304900000000002e-09,9.956800000000002e-09,9.956800000000002e-09,,2.0760690000000004e-08,2.0760690000000004e-08,,1.5810170000000002e-08,1.5810170000000002e-08,,4.950520000000001e-09,4.950520000000001e-09,,,,,,,,,,,,,,
1961-11-01,520.3,,83.04,8.304000000000002e-12,1.2617000000000001e-08,1.0261050000000003e-08,2.3559500000000003e-09,1.3918890000000002e-08,2.3085110000000003e-08,2.8268460000000006e-08,3.0633390000000006e-08,,,,3.2488970000000004e-08,3.0696830000000006e-08,1.7921400000000002e-09,2.251299e-08,2.0720850000000003e-08,1.7921400000000002e-09,9.975980000000003e-09,9.975980000000003e-09,,2.0922380000000002e-08,2.0922380000000002e-08,,1.6266790000000002e-08,1.6266790000000002e-08,,4.655590000000001e-09,4.655590000000001e-09,,,,,,,,,,,,,,
1961-12-01,501.9,,82.84,8.284000000000001e-12,1.3954020000000003e-08,1.2152310000000001e-08,1.8017100000000002e-09,1.4143780000000002e-08,2.4081870000000005e-08,2.9301880000000005e-08,3.1750860000000006e-08,,,,3.386380000000001e-08,3.201135000000001e-08,1.8524500000000004e-09,2.3505810000000004e-08,2.1653360000000004e-08,1.8524500000000004e-09,1.0357990000000001e-08,1.0357990000000001e-08,,2.0148590000000002e-08,2.0148590000000002e-08,,1.6044980000000003e-08,1.6044980000000003e-08,,4.1036100000000005e-09,4.1036100000000005e-09,,,,,,,,,,,,,,
